fecha,hora,dia_semana,ubicacion,temperatura,humedad,velocidad_viento,latitud,longitud,pm_10,pm_2_5,no2,o3,origen_lat,origen_lon,destino_lat,destino_lon,duracion_normal_seg,duracion_trafico_seg,congestion_ratio,congestion_ajustada,nivel_congestion
2026-05-16 00:00:00,0,5,San Jose Centro,22.2,73,8.6,9.9331,-84.0792,13.6,12.0,20.7,29.0,9.9358,-84.0558,9.9567,-84.1132,824.0,967.0,1.1735436893203883,1.1735436893203883,Leve
2026-05-16 01:00:00,1,5,San Jose Centro,20.9,79,9.6,9.9331,-84.0792,12.5,11.0,19.4,26.0,9.9358,-84.0558,9.9567,-84.1132,824.0,817.0,0.991504854368932,1.0,Fluido
2026-05-16 02:00:00,2,5,San Jose Centro,20.2,81,10.5,9.9331,-84.0792,12.5,10.9,17.6,23.0,9.9358,-84.0558,9.9567,-84.1132,824.0,803.0,0.9745145631067961,1.0,Fluido
2026-05-16 03:00:00,3,5,San Jose Centro,20.0,79,11.0,9.9331,-84.0792,13.1,11.5,16.0,20.0,9.9358,-84.0558,9.9567,-84.1132,824.0,797.0,0.9672330097087378,1.0,Fluido
2026-05-16 04:00:00,4,5,San Jose Centro,19.7,77,11.6,9.9331,-84.0792,13.5,11.8,15.0,19.0,9.9358,-84.0558,9.9567,-84.1132,824.0,765.0,0.9283980582524272,1.0,Fluido
2026-05-16 05:00:00,5,5,San Jose Centro,19.6,76,11.4,9.9331,-84.0792,13.0,11.5,14.3,19.0,9.9358,-84.0558,9.9567,-84.1132,824.0,737.0,0.8944174757281553,1.0,Fluido
2026-05-16 06:00:00,6,5,San Jose Centro,19.5,75,11.0,9.9331,-84.0792,12.0,10.5,13.3,19.0,9.9358,-84.0558,9.9567,-84.1132,824.0,713.0,0.8652912621359223,1.0,Fluido
2026-05-16 07:00:00,7,5,San Jose Centro,19.4,77,11.7,9.9331,-84.0792,10.9,9.5,11.5,21.0,9.9358,-84.0558,9.9567,-84.1132,824.0,685.0,0.8313106796116505,1.0,Fluido
2026-05-16 08:00:00,8,5,San Jose Centro,19.8,75,11.2,9.9331,-84.0792,9.6,8.4,9.5,23.0,9.9358,-84.0558,9.9567,-84.1132,824.0,662.0,0.8033980582524272,1.0,Fluido
2026-05-16 09:00:00,9,5,San Jose Centro,20.2,75,10.4,9.9331,-84.0792,8.6,7.4,8.1,25.0,9.9358,-84.0558,9.9567,-84.1132,824.0,637.0,0.7730582524271845,1.0,Fluido
2026-05-16 10:00:00,10,5,San Jose Centro,20.3,76,10.1,9.9331,-84.0792,7.8,6.7,8.0,24.0,9.9358,-84.0558,9.9567,-84.1132,824.0,657.0,0.7973300970873787,1.0,Fluido
2026-05-16 11:00:00,11,5,San Jose Centro,20.4,79,10.6,9.9331,-84.0792,5.0,4.5,8.6,22.0,9.9358,-84.0558,9.9567,-84.1132,824.0,702.0,0.8519417475728155,1.0,Fluido
2026-05-16 12:00:00,12,5,San Jose Centro,20.9,76,8.7,9.9331,-84.0792,10.7,9.2,9.9,23.0,9.9358,-84.0558,9.9567,-84.1132,824.0,733.0,0.8895631067961165,1.0,Fluido
2026-05-16 13:00:00,13,5,San Jose Centro,22.5,71,10.7,9.9331,-84.0792,9.7,8.5,7.8,37.0,9.9358,-84.0558,9.9567,-84.1132,824.0,724.0,0.8786407766990292,1.0,Fluido
2026-05-16 14:00:00,14,5,San Jose Centro,24.3,65,11.7,9.9331,-84.0792,8.2,7.2,4.9,55.0,9.9358,-84.0558,9.9567,-84.1132,824.0,765.0,0.9283980582524272,1.0,Fluido
2026-05-16 15:00:00,15,5,San Jose Centro,24.8,63,10.0,9.9331,-84.0792,6.1,5.2,2.9,69.0,9.9358,-84.0558,9.9567,-84.1132,824.0,833.0,1.0109223300970873,1.0109223300970873,Leve
2026-05-16 16:00:00,16,5,San Jose Centro,24.6,67,11.8,9.9331,-84.0792,6.6,5.5,2.6,73.0,9.9358,-84.0558,9.9567,-84.1132,824.0,848.0,1.029126213592233,1.029126213592233,Leve
2026-05-16 17:00:00,17,5,San Jose Centro,24.2,70,9.4,9.9331,-84.0792,7.5,6.4,3.3,71.0,9.9358,-84.0558,9.9567,-84.1132,824.0,867.0,1.0521844660194175,1.0521844660194175,Leve
2026-05-16 18:00:00,18,5,San Jose Centro,26.1,59,7.2,9.9331,-84.0792,7.8,6.8,4.1,68.0,9.9358,-84.0558,9.9567,-84.1132,824.0,1030.0,1.25,1.25,Leve
2026-05-16 19:00:00,19,5,San Jose Centro,26.9,57,6.6,9.9331,-84.0792,7.4,6.4,4.8,64.0,9.9358,-84.0558,9.9567,-84.1132,824.0,1024.0,1.2427184466019416,1.2427184466019416,Leve
2026-05-16 20:00:00,20,5,San Jose Centro,26.3,60,6.9,9.9331,-84.0792,7.8,6.9,5.7,59.0,9.9358,-84.0558,9.9567,-84.1132,824.0,1063.0,1.2900485436893203,1.2900485436893203,Leve
2026-05-16 21:00:00,21,5,San Jose Centro,25.2,64,5.0,9.9331,-84.0792,8.1,7.2,7.1,53.0,9.9358,-84.0558,9.9567,-84.1132,824.0,943.0,1.1444174757281553,1.1444174757281553,Leve
2026-05-16 22:00:00,22,5,San Jose Centro,24.4,67,3.6,9.9331,-84.0792,6.1,5.6,9.8,47.0,9.9358,-84.0558,9.9567,-84.1132,824.0,822.0,0.9975728155339806,1.0,Fluido
2026-05-16 23:00:00,23,5,San Jose Centro,23.7,71,4.6,9.9331,-84.0792,8.2,7.3,13.1,40.0,9.9358,-84.0558,9.9567,-84.1132,824.0,833.0,1.0109223300970873,1.0109223300970873,Leve
2026-05-17 00:00:00,0,6,San Jose Centro,23.0,74,6.4,9.9331,-84.0792,6.7,6.2,13.3,36.0,9.9358,-84.0558,9.9567,-84.1132,824.0,848.0,1.029126213592233,1.029126213592233,Leve
2026-05-17 01:00:00,1,6,San Jose Centro,22.4,75,7.1,9.9331,-84.0792,7.3,6.4,12.7,34.0,9.9358,-84.0558,9.9567,-84.1132,824.0,793.0,0.962378640776699,1.0,Fluido
2026-05-17 02:00:00,2,6,San Jose Centro,21.5,79,9.4,9.9331,-84.0792,7.4,6.6,11.8,31.0,9.9358,-84.0558,9.9567,-84.1132,824.0,775.0,0.9405339805825242,1.0,Fluido
2026-05-17 03:00:00,3,6,San Jose Centro,20.9,82,8.6,9.9331,-84.0792,8.1,7.1,11.0,28.0,9.9358,-84.0558,9.9567,-84.1132,824.0,783.0,0.9502427184466019,1.0,Fluido
2026-05-17 04:00:00,4,6,San Jose Centro,21.1,80,7.6,9.9331,-84.0792,8.6,7.5,10.4,26.0,9.9358,-84.0558,9.9567,-84.1132,824.0,759.0,0.9211165048543689,1.0,Fluido
2026-05-17 05:00:00,5,6,San Jose Centro,20.9,79,9.4,9.9331,-84.0792,8.8,7.6,9.8,25.0,9.9358,-84.0558,9.9567,-84.1132,824.0,744.0,0.9029126213592233,1.0,Fluido
