origen_lat,origen_lon,destino_lat,destino_lon,departure_time,duracion_normal_seg,duracion_trafico_seg,congestion_ratio
9.9358,-84.0558,9.9567,-84.1132,2026-08-18T07:00:00Z,824.0,632.0,0.7669902912621359
9.9358,-84.0558,9.9567,-84.1132,2026-08-18T08:00:00Z,824.0,656.0,0.7961165048543689
9.9358,-84.0558,9.9567,-84.1132,2026-08-18T09:00:00Z,824.0,652.0,0.7912621359223301
9.9358,-84.0558,9.9567,-84.1132,2026-08-18T10:00:00Z,824.0,662.0,0.8033980582524272
9.9358,-84.0558,9.9567,-84.1132,2026-08-18T11:00:00Z,824.0,738.0,0.8956310679611651
9.9358,-84.0558,9.9567,-84.1132,2026-08-18T12:00:00Z,824.0,1117.0,1.3555825242718447
9.9358,-84.0558,9.9567,-84.1132,2026-08-18T13:00:00Z,824.0,1379.0,1.6735436893203883
9.9358,-84.0558,9.9567,-84.1132,2026-08-18T14:00:00Z,824.0,1285.0,1.5594660194174756
9.9358,-84.0558,9.9567,-84.1132,2026-08-18T15:00:00Z,824.0,1182.0,1.4344660194174756
9.9358,-84.0558,9.9567,-84.1132,2026-08-18T16:00:00Z,824.0,1161.0,1.4089805825242718
9.9358,-84.0558,9.9567,-84.1132,2026-08-18T17:00:00Z,824.0,985.0,1.1953883495145632
9.9358,-84.0558,9.9567,-84.1132,2026-08-18T18:00:00Z,824.0,969.0,1.1759708737864079
9.9358,-84.0558,9.9567,-84.1132,2026-08-18T19:00:00Z,824.0,918.0,1.1140776699029127
9.9358,-84.0558,9.9567,-84.1132,2026-08-18T20:00:00Z,824.0,922.0,1.1189320388349515
9.9358,-84.0558,9.9567,-84.1132,2026-08-18T21:00:00Z,824.0,929.0,1.1274271844660195
9.9358,-84.0558,9.9567,-84.1132,2026-08-18T22:00:00Z,824.0,1045.0,1.2682038834951457
9.9358,-84.0558,9.9567,-84.1132,2026-08-18T23:00:00Z,824.0,1221.0,1.4817961165048543
9.9358,-84.0558,9.9567,-84.1132,2026-08-19T00:00:00Z,824.0,978.0,1.1868932038834952
9.9358,-84.0558,9.9567,-84.1132,2026-08-19T01:00:00Z,824.0,806.0,0.9781553398058253
9.9358,-84.0558,9.9567,-84.1132,2026-08-19T02:00:00Z,824.0,766.0,0.9296116504854369
9.9358,-84.0558,9.9567,-84.1132,2026-08-19T03:00:00Z,824.0,785.0,0.9526699029126213
9.9358,-84.0558,9.9567,-84.1132,2026-08-19T04:00:00Z,824.0,749.0,0.9089805825242718
9.9358,-84.0558,9.9567,-84.1132,2026-08-19T05:00:00Z,824.0,711.0,0.8628640776699029
9.9358,-84.0558,9.9567,-84.1132,2026-08-19T06:00:00Z,824.0,684.0,0.8300970873786407
9.9358,-84.0558,9.9567,-84.1132,2026-08-19T07:00:00Z,824.0,643.0,0.7803398058252428
9.9358,-84.0558,9.9567,-84.1132,2026-08-19T08:00:00Z,824.0,638.0,0.7742718446601942
9.9358,-84.0558,9.9567,-84.1132,2026-08-19T09:00:00Z,824.0,631.0,0.7657766990291263
9.9358,-84.0558,9.9567,-84.1132,2026-08-19T10:00:00Z,824.0,660.0,0.8009708737864077
9.9358,-84.0558,9.9567,-84.1132,2026-08-19T11:00:00Z,824.0,737.0,0.8944174757281553
9.9358,-84.0558,9.9567,-84.1132,2026-08-19T12:00:00Z,824.0,1132.0,1.3737864077669903
9.9358,-84.0558,9.9567,-84.1132,2026-08-19T13:00:00Z,824.0,1320.0,1.6019417475728155
9.9358,-84.0558,9.9567,-84.1132,2026-08-19T14:00:00Z,824.0,1219.0,1.479368932038835
9.9358,-84.0558,9.9567,-84.1132,2026-08-19T15:00:00Z,824.0,1120.0,1.3592233009708738
9.9358,-84.0558,9.9567,-84.1132,2026-08-19T16:00:00Z,824.0,1051.0,1.2754854368932038
9.9358,-84.0558,9.9567,-84.1132,2026-08-19T17:00:00Z,824.0,1006.0,1.220873786407767
9.9358,-84.0558,9.9567,-84.1132,2026-08-19T18:00:00Z,824.0,1045.0,1.2682038834951457
9.9358,-84.0558,9.9567,-84.1132,2026-08-19T19:00:00Z,824.0,959.0,1.1638349514563107
9.9358,-84.0558,9.9567,-84.1132,2026-08-19T20:00:00Z,824.0,936.0,1.1359223300970873
9.9358,-84.0558,9.9567,-84.1132,2026-08-19T21:00:00Z,824.0,921.0,1.1177184466019416
9.9358,-84.0558,9.9567,-84.1132,2026-08-19T22:00:00Z,824.0,1041.0,1.2633495145631068
9.9358,-84.0558,9.9567,-84.1132,2026-08-19T23:00:00Z,824.0,1184.0,1.4368932038834952
9.9358,-84.0558,9.9567,-84.1132,2026-08-20T00:00:00Z,824.0,1004.0,1.2184466019417475
9.9358,-84.0558,9.9567,-84.1132,2026-08-20T01:00:00Z,824.0,820.0,0.9951456310679612
9.9358,-84.0558,9.9567,-84.1132,2026-08-20T02:00:00Z,824.0,785.0,0.9526699029126213
9.9358,-84.0558,9.9567,-84.1132,2026-08-20T03:00:00Z,824.0,798.0,0.9684466019417476
9.9358,-84.0558,9.9567,-84.1132,2026-08-20T04:00:00Z,824.0,752.0,0.912621359223301
9.9358,-84.0558,9.9567,-84.1132,2026-08-20T05:00:00Z,824.0,708.0,0.8592233009708737
9.9358,-84.0558,9.9567,-84.1132,2026-08-20T06:00:00Z,824.0,674.0,0.8179611650485437
9.9358,-84.0558,9.9567,-84.1132,2026-08-20T07:00:00Z,824.0,634.0,0.7694174757281553
9.9358,-84.0558,9.9567,-84.1132,2026-08-20T08:00:00Z,824.0,649.0,0.787621359223301
9.9358,-84.0558,9.9567,-84.1132,2026-08-20T09:00:00Z,824.0,645.0,0.7827669902912622
9.9358,-84.0558,9.9567,-84.1132,2026-08-20T10:00:00Z,824.0,664.0,0.8058252427184466
9.9358,-84.0558,9.9567,-84.1132,2026-08-20T11:00:00Z,824.0,752.0,0.912621359223301
9.9358,-84.0558,9.9567,-84.1132,2026-08-20T12:00:00Z,824.0,1087.0,1.3191747572815533
9.9358,-84.0558,9.9567,-84.1132,2026-08-20T13:00:00Z,824.0,1299.0,1.5764563106796117
9.9358,-84.0558,9.9567,-84.1132,2026-08-20T14:00:00Z,824.0,1180.0,1.4320388349514563
9.9358,-84.0558,9.9567,-84.1132,2026-08-20T15:00:00Z,824.0,1196.0,1.4514563106796117
9.9358,-84.0558,9.9567,-84.1132,2026-08-20T16:00:00Z,824.0,1098.0,1.3325242718446602
