time,temperature_2m,relative_humidity_2m,wind_speed_10m,latitude,longitude
2026-05-19T00:00,23.7,68,7.6,9.9331,-84.0792
2026-05-19T01:00,22.2,74,9.4,9.9331,-84.0792
2026-05-19T02:00,21.4,77,10.3,9.9331,-84.0792
2026-05-19T03:00,21.0,77,10.8,9.9331,-84.0792
2026-05-19T04:00,21.1,76,11.1,9.9331,-84.0792
2026-05-19T05:00,21.0,76,9.9,9.9331,-84.0792
2026-05-19T06:00,20.7,76,8.7,9.9331,-84.0792
2026-05-19T07:00,20.6,76,8.8,9.9331,-84.0792
2026-05-19T08:00,20.3,77,8.6,9.9331,-84.0792
2026-05-19T09:00,20.4,77,8.5,9.9331,-84.0792
2026-05-19T10:00,20.6,78,8.7,9.9331,-84.0792
2026-05-19T11:00,20.7,77,9.4,9.9331,-84.0792
2026-05-19T12:00,20.8,78,9.3,9.9331,-84.0792
2026-05-19T13:00,22.0,72,11.4,9.9331,-84.0792
2026-05-19T14:00,24.1,64,11.4,9.9331,-84.0792
2026-05-19T15:00,26.2,57,10.9,9.9331,-84.0792
2026-05-19T16:00,27.5,53,7.7,9.9331,-84.0792
2026-05-19T17:00,28.5,51,8.9,9.9331,-84.0792
2026-05-19T18:00,28.9,46,9.8,9.9331,-84.0792
2026-05-19T19:00,27.4,53,9.0,9.9331,-84.0792
2026-05-19T20:00,26.6,57,6.8,9.9331,-84.0792
2026-05-19T21:00,25.3,62,4.8,9.9331,-84.0792
2026-05-19T22:00,25.1,62,2.2,9.9331,-84.0792
2026-05-19T23:00,24.0,70,7.6,9.9331,-84.0792
2026-05-20T00:00,23.8,72,7.6,9.9331,-84.0792
2026-05-20T01:00,22.8,76,9.7,9.9331,-84.0792
2026-05-20T02:00,22.1,77,9.5,9.9331,-84.0792
2026-05-20T03:00,21.8,77,10.1,9.9331,-84.0792
2026-05-20T04:00,21.5,77,10.7,9.9331,-84.0792
2026-05-20T05:00,21.3,78,11.8,9.9331,-84.0792
2026-05-20T06:00,21.0,77,10.1,9.9331,-84.0792
2026-05-20T07:00,20.9,77,10.3,9.9331,-84.0792
2026-05-20T08:00,20.9,78,10.5,9.9331,-84.0792
2026-05-20T09:00,20.7,80,9.6,9.9331,-84.0792
2026-05-20T10:00,20.9,80,9.6,9.9331,-84.0792
2026-05-20T11:00,21.0,79,11.5,9.9331,-84.0792
2026-05-20T12:00,21.4,78,11.1,9.9331,-84.0792
2026-05-20T13:00,22.0,75,11.5,9.9331,-84.0792
2026-05-20T14:00,23.2,73,11.7,9.9331,-84.0792
2026-05-20T15:00,24.0,69,11.5,9.9331,-84.0792
2026-05-20T16:00,23.7,70,10.7,9.9331,-84.0792
2026-05-20T17:00,23.6,72,9.9,9.9331,-84.0792
2026-05-20T18:00,24.7,65,6.7,9.9331,-84.0792
2026-05-20T19:00,25.1,63,10.5,9.9331,-84.0792
2026-05-20T20:00,24.1,68,9.4,9.9331,-84.0792
2026-05-20T21:00,24.7,66,11.9,9.9331,-84.0792
2026-05-20T22:00,23.5,72,11.2,9.9331,-84.0792
2026-05-20T23:00,22.4,78,10.7,9.9331,-84.0792
2026-05-21T00:00,22.0,79,11.3,9.9331,-84.0792
2026-05-21T01:00,21.5,78,11.2,9.9331,-84.0792
2026-05-21T02:00,21.0,78,9.9,9.9331,-84.0792
2026-05-21T03:00,20.4,80,11.6,9.9331,-84.0792
2026-05-21T04:00,20.1,80,12.3,9.9331,-84.0792
2026-05-21T05:00,20.5,76,12.6,9.9331,-84.0792
2026-05-21T06:00,19.5,75,11.7,9.9331,-84.0792
2026-05-21T07:00,19.5,73,12.8,9.9331,-84.0792
2026-05-21T08:00,19.7,73,11.5,9.9331,-84.0792
2026-05-21T09:00,19.4,76,10.6,9.9331,-84.0792
2026-05-21T10:00,18.6,80,9.4,9.9331,-84.0792
2026-05-21T11:00,18.0,83,9.5,9.9331,-84.0792
2026-05-21T12:00,18.5,78,10.0,9.9331,-84.0792
2026-05-21T13:00,21.1,66,10.5,9.9331,-84.0792
2026-05-21T14:00,23.3,60,11.1,9.9331,-84.0792
2026-05-21T15:00,24.8,57,10.2,9.9331,-84.0792
2026-05-21T16:00,26.6,51,9.1,9.9331,-84.0792
2026-05-21T17:00,27.7,47,7.7,9.9331,-84.0792
2026-05-21T18:00,28.0,46,8.1,9.9331,-84.0792
2026-05-21T19:00,27.5,49,9.0,9.9331,-84.0792
2026-05-21T20:00,25.2,60,4.9,9.9331,-84.0792
2026-05-21T21:00,23.6,70,4.4,9.9331,-84.0792
2026-05-21T22:00,23.7,71,3.6,9.9331,-84.0792
2026-05-21T23:00,22.7,75,3.1,9.9331,-84.0792
2026-05-22T00:00,23.1,71,5.8,9.9331,-84.0792
2026-05-22T01:00,22.6,73,5.0,9.9331,-84.0792
2026-05-22T02:00,22.0,77,3.6,9.9331,-84.0792
2026-05-22T03:00,21.5,79,4.8,9.9331,-84.0792
2026-05-22T04:00,21.0,82,6.7,9.9331,-84.0792
2026-05-22T05:00,20.4,84,8.3,9.9331,-84.0792
2026-05-22T06:00,20.2,80,8.6,9.9331,-84.0792
2026-05-22T07:00,20.1,79,9.4,9.9331,-84.0792
2026-05-22T08:00,20.1,79,9.2,9.9331,-84.0792
2026-05-22T09:00,19.9,79,9.7,9.9331,-84.0792
2026-05-22T10:00,20.0,79,10.5,9.9331,-84.0792
2026-05-22T11:00,19.9,77,9.6,9.9331,-84.0792
2026-05-22T12:00,20.3,78,10.6,9.9331,-84.0792
2026-05-22T13:00,21.9,70,11.7,9.9331,-84.0792
2026-05-22T14:00,21.9,77,8.7,9.9331,-84.0792
2026-05-22T15:00,23.5,72,6.7,9.9331,-84.0792
2026-05-22T16:00,26.0,60,7.2,9.9331,-84.0792
2026-05-22T17:00,27.4,57,4.4,9.9331,-84.0792
2026-05-22T18:00,27.2,53,2.6,9.9331,-84.0792
2026-05-22T19:00,25.3,62,4.7,9.9331,-84.0792
2026-05-22T20:00,24.9,65,5.2,9.9331,-84.0792
2026-05-22T21:00,24.5,65,4.4,9.9331,-84.0792
2026-05-22T22:00,24.2,67,6.1,9.9331,-84.0792
2026-05-22T23:00,23.6,70,5.8,9.9331,-84.0792
2026-05-23T00:00,23.7,69,4.7,9.9331,-84.0792
2026-05-23T01:00,23.1,70,5.8,9.9331,-84.0792
2026-05-23T02:00,22.5,72,4.9,9.9331,-84.0792
2026-05-23T03:00,22.2,73,5.0,9.9331,-84.0792
2026-05-23T04:00,22.0,75,7.6,9.9331,-84.0792
2026-05-23T05:00,21.4,78,3.1,9.9331,-84.0792
2026-05-23T06:00,20.8,77,8.5,9.9331,-84.0792
2026-05-23T07:00,20.4,77,10.1,9.9331,-84.0792
2026-05-23T08:00,20.7,75,8.2,9.9331,-84.0792
2026-05-23T09:00,20.6,76,8.5,9.9331,-84.0792
2026-05-23T10:00,19.9,79,10.2,9.9331,-84.0792
2026-05-23T11:00,19.6,78,10.8,9.9331,-84.0792
2026-05-23T12:00,21.0,74,10.4,9.9331,-84.0792
2026-05-23T13:00,22.5,69,11.7,9.9331,-84.0792
2026-05-23T14:00,24.4,64,13.0,9.9331,-84.0792
2026-05-23T15:00,26.7,55,11.2,9.9331,-84.0792
2026-05-23T16:00,27.8,51,10.6,9.9331,-84.0792
2026-05-23T17:00,28.1,51,8.9,9.9331,-84.0792
2026-05-23T18:00,28.7,45,9.2,9.9331,-84.0792
2026-05-23T19:00,27.9,51,10.5,9.9331,-84.0792
2026-05-23T20:00,27.8,51,3.6,9.9331,-84.0792
2026-05-23T21:00,24.7,63,3.7,9.9331,-84.0792
2026-05-23T22:00,23.9,68,4.6,9.9331,-84.0792
2026-05-23T23:00,24.2,64,8.0,9.9331,-84.0792
2026-05-24T00:00,23.0,70,7.9,9.9331,-84.0792
2026-05-24T01:00,22.4,74,7.0,9.9331,-84.0792
2026-05-24T02:00,22.3,74,6.3,9.9331,-84.0792
2026-05-24T03:00,22.0,76,6.3,9.9331,-84.0792
2026-05-24T04:00,21.4,79,7.8,9.9331,-84.0792
2026-05-24T05:00,21.3,79,8.8,9.9331,-84.0792
2026-05-24T06:00,20.9,77,10.7,9.9331,-84.0792
2026-05-24T07:00,20.6,74,12.1,9.9331,-84.0792
2026-05-24T08:00,20.4,73,11.6,9.9331,-84.0792
2026-05-24T09:00,19.9,76,11.3,9.9331,-84.0792
2026-05-24T10:00,19.3,79,12.1,9.9331,-84.0792
2026-05-24T11:00,18.8,81,11.2,9.9331,-84.0792
2026-05-24T12:00,20.1,77,10.6,9.9331,-84.0792
2026-05-24T13:00,21.9,69,10.5,9.9331,-84.0792
2026-05-24T14:00,24.0,64,11.9,9.9331,-84.0792
2026-05-24T15:00,26.7,55,11.4,9.9331,-84.0792
2026-05-24T16:00,28.1,51,8.8,9.9331,-84.0792
2026-05-24T17:00,28.5,52,8.1,9.9331,-84.0792
2026-05-24T18:00,27.5,54,2.3,9.9331,-84.0792
2026-05-24T19:00,27.2,57,4.2,9.9331,-84.0792
2026-05-24T20:00,25.8,62,3.5,9.9331,-84.0792
